Area Code,Area Name,year,obesity_prevalence,physical_inactivity,smoking_prevalence,diet_5_a_day_pct
E06000032,Luton,2022,23.21268,30.48711,19.3,24.99112
E06000033,Southend-on-Sea,2022,31.40949,28.51133,12.8,29.74065
E06000034,Thurrock,2022,26.26126,31.43489,15.2,23.80357
E06000035,Medway,2022,30.20217,25.13298,8.1,28.50999
E06000036,Bracknell Forest,2022,27.26192,17.2456,13.3,29.30127
E06000037,West Berkshire,2022,26.79337,20.70619,10.3,35.30301
E06000038,Reading,2022,28.20657,21.67091,13.2,29.75156
E06000039,Slough,2022,26.19329,30.72442,13.9,18.91123
E06000040,Windsor and Maidenhead,2022,23.25793,22.7577,7.8,36.40158
E06000041,Wokingham,2022,18.96626,17.90493,4.1,33.24164
E06000042,Milton Keynes,2022,25.89105,18.71114,12.6,26.01852
E06000043,Brighton and Hove,2022,15.10402,10.90547,11.6,36.1949
E06000044,Portsmouth,2022,30.75013,17.71616,13.4,22.2734
E06000045,Southampton,2022,29.45037,21.73778,12.0,24.69026
E06000046,Isle of Wight,2022,21.86223,23.31171,8.6,35.52417
E06000047,County Durham,2022,34.01254,28.40308,14.0,32.43358
E06000049,Cheshire East,2022,21.46203,20.41165,8.5,31.88874
E06000050,Cheshire West and Chester,2022,30.16707,19.04034,8.1,31.60639
E06000051,Shropshire,2022,28.61979,19.0728,9.1,37.69784
E06000052,Cornwall,2022,27.54592,22.697,9.4,41.94426
E06000054,Wiltshire,2022,26.66178,16.00191,9.2,32.35982
E06000055,Bedford,2022,22.33433,13.81535,10.7,34.59434
E06000056,Central Bedfordshire,2022,24.73008,20.11844,13.7,31.34187
E06000057,Northumberland,2022,28.80884,20.98539,8.7,38.36095
E06000058,"Bournemouth, Christchurch and Poole",2022,26.77934,19.05041,9.1,36.0994
E06000059,Dorset,2022,28.9252,20.70921,8.3,34.38071
E06000060,Buckinghamshire UA,2022,23.65486,19.26486,9.6,28.72851
E06000061,North Northamptonshire,2022,29.21563,26.03391,13.3,26.4538
E06000062,West Northamptonshire,2022,27.03023,24.28731,10.9,31.46776
E08000001,Bolton,2022,28.08892,26.70451,12.9,23.65933
E08000002,Bury,2022,30.03106,24.57813,10.6,27.5578
E08000003,Manchester,2022,27.28058,24.49847,15.9,22.20047
E08000004,Oldham,2022,32.71987,32.24064,9.9,24.15352
E08000005,Rochdale,2022,34.86453,32.65984,13.9,23.40317
E08000006,Salford,2022,28.60808,21.82483,13.7,24.1377
E08000007,Stockport,2022,25.27521,22.02312,10.7,29.55097
E08000008,Tameside,2022,34.59192,28.22871,18.5,23.18321
E08000009,Trafford,2022,22.80824,21.10595,7.2,31.09462
E08000010,Wigan,2022,39.11172,23.78338,13.4,23.89866
E08000011,Knowsley,2022,35.61068,28.613,13.4,24.52895
E08000012,Liverpool,2022,29.82289,23.04227,15.8,24.5403
E08000013,St. Helens,2022,34.38126,29.01515,10.8,25.84646
E08000014,Sefton,2022,35.33222,26.78993,7.2,30.85424
E08000015,Wirral,2022,35.73138,24.64435,9.8,28.36441
E08000016,Barnsley,2022,28.84845,32.51097,14.4,29.44049
E08000017,Doncaster,2022,29.656,25.26975,11.2,30.95357
E08000018,Rotherham,2022,37.7611,27.35054,12.8,31.01141
E08000019,Sheffield,2022,24.49144,22.01271,10.9,29.72365
E08000021,Newcastle upon Tyne,2022,29.86422,22.15901,11.0,29.26209
E08000022,North Tyneside,2022,29.82744,26.82201,10.2,30.50524
E08000023,South Tyneside,2022,38.76036,28.06358,13.9,26.79441
E08000024,Sunderland,2022,30.36396,26.20458,12.0,22.13671
E08000025,Birmingham,2022,25.91325,27.85632,12.4,23.24568
E08000026,Coventry,2022,27.74158,24.52579,16.8,26.06795
E08000027,Dudley,2022,32.21438,28.41868,11.2,30.67832
E08000028,Sandwell,2022,35.13287,36.14566,19.2,19.91462
E08000029,Solihull,2022,22.936,21.78539,9.6,31.45616
E08000030,Walsall,2022,28.95744,30.59606,12.5,25.10027
E08000031,Wolverhampton,2022,32.98323,32.93232,13.8,25.02143
E08000032,Bradford,2022,32.93368,28.78472,14.3,26.0696
E08000033,Calderdale,2022,28.17167,23.75485,10.5,28.58905
E08000034,Kirklees,2022,26.89868,26.58244,12.2,26.884
E08000035,Leeds,2022,26.22084,22.17518,11.3,28.2819
E08000036,Wakefield,2022,30.9903,23.57862,11.4,20.446
E08000037,Gateshead,2022,35.80091,32.15351,10.1,23.03239
E09000002,Barking and Dagenham,2022,30.485,38.36813,12.4,21.58541
E09000003,Barnet,2022,18.16782,17.04533,7.6,34.82367
E09000004,Bexley,2022,24.23752,26.57512,12.2,24.12325
E09000005,Brent,2022,19.3895,28.12416,12.6,23.9028
E09000006,Bromley,2022,26.42415,22.65366,5.9,28.79201
E09000007,Camden,2022,17.3226,17.90181,8.3,33.45249
E09000008,Croydon,2022,24.05367,23.68307,12.3,28.71816
E09000009,Ealing,2022,22.18479,24.28542,14.5,28.65903
E09000010,Enfield,2022,24.01958,31.28798,12.3,30.6006
E09000011,Greenwich,2022,23.15219,24.84888,12.3,27.98302
E09000012,Hackney,2022,21.9492,24.39523,13.0,31.82453
E09000013,Hammersmith and Fulham,2022,18.08513,16.88374,7.6,37.3633
E09000014,Haringey,2022,13.9112,21.61356,14.5,39.13395
E09000015,Harrow,2022,16.74589,26.53607,6.9,29.69145
E09000016,Havering,2022,25.74648,25.58033,14.5,22.14805
E09000017,Hillingdon,2022,22.33171,28.87755,7.3,24.88112
E09000018,Hounslow,2022,26.20837,30.44651,14.9,29.1262
E09000019,Islington,2022,17.86715,17.11035,7.1,32.85381
E09000020,Kensington and Chelsea,2022,13.23967,21.46309,10.3,37.7026
E09000021,Kingston upon Thames,2022,15.47317,20.02121,5.6,35.63917
E09000022,Lambeth,2022,19.17333,18.29175,12.2,34.8953
E09000023,Lewisham,2022,23.82882,22.12413,14.0,32.3448
E09000024,Merton,2022,20.93565,24.52826,13.6,28.31933
E09000025,Newham,2022,23.25553,30.93068,9.8,21.03581
E09000026,Redbridge,2022,25.34519,28.85651,10.4,24.87545
